title,date_watched,rating,note,status
The Astronaut,2026-06-29,,,
The Current War,2022-08-19,,,
The Empire Strikes Back,2022-08-18,,,
The Hunger Games,2022-08-18,,,
The Hunger Games: Catching Fire,2022-08-18,,,
The Hunger Games: Mockingjay - Part 1,2022-08-18,,,
The Hunger Games: Mockingjay - Part 2,2022-08-18,,,
The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-18,,,
The Hungover Games,2022-08-18,,,
The Imitation Game,2023-05-08,,,
The King's Speech,2022-08-18,,,
The Kissing Booth,2022-08-19,,,
The Kissing Booth 2,2022-08-18,,,
The Lion King,2022-10-02,,,
The Man Who Knew Infinity,2023-02-28,,,
The Matrix,2025-01-19,,,
The Nightmare Before Christmas,2022-08-18,,,
The Package,2022-08-18,,,
The Six Triple Eight,2025-02-08,,,
The Super Mario Bros. Movie,2023-04-23,,,
The Texas Chain Saw Massacre,2022-08-18,,,
The Theory of Everything,2022-08-18,,,
The Truman Show,2022-09-23,,,
The Wolf of Wall Street,2022-08-19,,,
To All the Boys I've Loved Before,2022-08-18,,,
Troy,2022-08-18,,,
Un bel giorno,2026-06-23,,,
Un boss in salotto,2022-08-19,,,
Un sacco bello,2022-08-18,,,
Unbroken,2022-08-18,,,
Vacanze ai Caraibi - Il film di Natale,2022-08-18,,,
WALL·E,2022-10-02,,,
We're the Millers,2022-11-11,,,
Whatsoeverly,2025-04-18,,,
Wicked,2024-12-26,,,
Wonder,,,,
君の膵臓をたべたい,2023-09-02,,,
