title,type,date_watched,rating,note,status
The Hunger Games,Film,2022-08-18,,,
21,Film,2022-08-18,,,
Spider-Man 2,Film,2022-08-18,,,
Un sacco bello,Film,2022-08-18,,,
I 2 soliti idioti,Film,2022-08-18,,,
The Theory of Everything,Film,2022-08-18,,,
Coach Carter,Film,2022-08-18,,,
Rush,Film,2022-08-18,,,
Sierra Burgess Is a Loser,Film,2022-08-18,,,
El hoyo,Film,2022-08-18,,,
Spider-Man: No Way Home,Film,2022-08-18,,,
The Package,Film,2022-08-18,,,
Arrivano i prof,Film,2022-08-18,,,
La red avispa,Film,2022-08-18,,,
The Kissing Booth 2,Film,2022-08-18,,,
Star Wars: Episode I – The Phantom Menace,Film,2022-08-18,,,
El fotógrafo de Mauthausen,Film,2022-08-18,,,
Harry Potter and the Order of the Phoenix,Film,2022-08-18,,,
Pieles,Film,2022-08-18,,,
Star Wars: Episode II – Attack of the Clones,Film,2022-08-18,,,
The Hungover Games,Film,2022-08-18,,,
Full Metal Jacket,Film,2022-08-18,,,
Star Wars,Film,2022-08-18,,,
Solo: A Star Wars Story,Film,2022-08-18,,,
Grease,Film,2022-08-18,,,
Star Wars: The Rise of Skywalker,Film,2022-08-18,,,
Blended,Film,2022-08-18,,,
Troy,Film,2022-08-18,,,
Sausage Party,Film,2022-08-18,,,
Star Wars: Episode III – Revenge of the Sith,Film,2022-08-18,,,
Dinner for Schmucks,Film,2022-08-18,,,
Smetto quando voglio - Ad honorem,Film,2022-08-18,,,
Despicable Me,Film,2022-08-18,,,
Unbroken,Film,2022-08-18,,,
The Hunger Games: Mockingjay - Part 2,Film,2022-08-18,,,
Space Jam,Film,2022-08-18,,,
Se Dio vuole,Film,2022-08-18,,,
Murder Mystery,Film,2022-08-18,,,
8 Mile,Film,2022-08-18,,,
Dunkirk,Film,2022-08-18,,,
The Nightmare Before Christmas,Film,2022-08-18,,,
Star Wars: The Force Awakens,Film,2022-08-18,,,
Spider-Man: Homecoming,Film,2022-08-18,,,
Return of the Jedi,Film,2022-08-18,,,
Star Wars: The Last Jedi,Film,2022-08-18,,,
Smetto quando voglio,Film,2022-08-18,,,
I soliti idioti - Il film,Film,2022-08-18,,,
Spider-Man,Film,2022-08-18,,,
Harry Potter and the Prisoner of Azkaban,Film,2022-08-18,,,
The Texas Chain Saw Massacre,Film,2022-08-18,,,
Spider-Man: Far From Home,Film,2022-08-18,,,
Harry Potter and the Deathly Hallows: Part 1,Film,2022-08-18,,,
The Hunger Games: Catching Fire,Film,2022-08-18,,,
Smetto quando voglio - Masterclass,Film,2022-08-18,,,
Harry Potter and the Goblet of Fire,Film,2022-08-18,,,
Cam,Film,2022-08-18,,,
