title,season,total_episodes,watched_episodes,date_watched,rating,note
Star Wars: Tales of the Jedi,1,,0,,,
Star Wars: The Bad Batch,1,16,16,2025-04-23,,
Star Wars: The Bad Batch,2,16,16,2025-04-23,,
Star Wars: The Bad Batch,3,16,15,2025-04-23,,
Star Wars: The Clone Wars,1,22,22,2023-01-20,,
Star Wars: The Clone Wars,2,22,22,2023-01-20,,
Star Wars: The Clone Wars,3,22,22,2023-01-20,,
Star Wars: The Clone Wars,4,22,22,2023-01-20,,
Star Wars: The Clone Wars,5,20,20,2023-01-20,,
Star Wars: The Clone Wars,6,13,13,2023-01-20,,
Star Wars: The Clone Wars,7,12,12,2023-01-20,,
Station 19,1,10,10,2022-08-18,,
Station 19,2,17,17,2022-08-18,,
Strappare lungo i bordi,1,6,6,2022-08-18,,
Teenage Bounty Hunters,1,10,10,2022-08-18,,
The Bear,1,,0,,,
The Big Bang Theory,1,17,17,2025-02-19,,
The Big Bang Theory,2,23,23,2025-02-19,,
The Big Bang Theory,3,23,23,2025-02-19,,
The Big Bang Theory,4,24,24,2025-02-19,,
The Big Bang Theory,5,24,24,2025-02-19,,
The Big Bang Theory,6,24,24,2025-02-19,,
The Big Bang Theory,7,24,24,2025-02-19,,
The Big Bang Theory,8,24,24,2025-02-19,,
The Big Bang Theory,9,24,24,2025-02-19,,
The Big Bang Theory,10,24,24,2025-02-19,,
The Big Bang Theory,11,24,24,2025-02-19,,
The Big Bang Theory,12,24,24,2025-02-19,,
The Book of Boba Fett,1,7,7,2022-09-22,,
The Boys,1,8,8,2022-08-19,,
The End of the F***ing World,1,8,8,2022-08-18,,
The End of the F***ing World,2,8,8,2022-08-18,,
The Ingenuity of the Househusband,1,,0,,,
The Man in the High Castle,1,10,10,2022-08-19,,
The Man in the High Castle,2,10,6,2022-08-19,,
The Mandalorian,1,8,8,2023-09-14,,
The Mandalorian,2,8,8,2023-09-14,,
The Mandalorian,3,8,8,2023-09-14,,
The Midnight Gospel,1,8,8,2022-11-10,,
The Queen's Gambit,1,7,7,2022-08-18,,
The Sandman,1,,0,,,
The Seven Deadly Sins,0,,2,2022-08-18,,
The Seven Deadly Sins,1,24,24,2022-08-18,,
The Simpsons,1,13,13,2025-01-30,,
The Simpsons,2,22,22,2025-01-30,,
The Simpsons,3,24,24,2025-01-30,,
The Simpsons,4,22,22,2025-01-30,,
The Simpsons,5,22,22,2025-01-30,,
The Simpsons,6,25,17,2025-01-30,,
The Way of the Househusband (2021),1,,10,2022-11-12,,
Toradora!,1,25,25,2022-08-18,,
Total Drama,1,,27,2022-08-18,,
Total Drama,2,,27,2022-08-18,,
Total Drama,3,,26,2022-08-18,,
Trinkets,1,10,10,2022-08-18,,
Trinkets,2,10,10,2022-08-18,,
Tutta colpa di Freud - La serie,1,,8,2022-08-19,,
Wednesday,1,,0,,,
Yellowjackets,1,,0,,,
You,1,10,10,2023-04-17,,
You,2,10,10,2023-04-17,,
You,3,10,10,2023-04-17,,
You,4,10,10,2023-04-17,,
Your Lie in April,1,22,17,2022-08-18,,
Chernobyl,1,5,5,2026-08-01,8,Bella. Me la sono sparata tutta di fila. In alcune parti (a mio parere) leggermente lenta ma interessante ed emozionante.
